Step 0: x = 0, y = 0, z = 0, vx = 0, vy = 0, vz = 0, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 1: x = 0, y = 0, z = -0.00171675, vx = 0, vy = 0, vz = -0.2943, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 2: x = 0, y = 0, z = -0.0122625, vx = 0, vy = 0, vz = -0.5886, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 3: x = 0, y = 0, z = -0.0316372, vx = 0, vy = 0, vz = -0.8829, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 4: x = 0, y = 0, z = -0.059841, vx = 0, vy = 0, vz = -1.1772, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 5: x = 0, y = 0, z = -0.0968737, vx = 0, vy = 0, vz = -1.4715, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 6: x = 0, y = 0, z = -0.142736, vx = 0, vy = 0, vz = -1.7658, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 7: x = 0, y = 0, z = -0.197426, vx = 0, vy = 0, vz = -2.0601, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 8: x = 0, y = 0, z = -0.260946, vx = 0, vy = 0, vz = -2.3544, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 9: x = 0, y = 0, z = -0.333295, vx = 0, vy = 0, vz = -2.6487, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 10: x = 0, y = 0, z = -0.414473, vx = 0, vy = 0, vz = -2.943, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 11: x = 0, y = 0, z = -0.504479, vx = 0, vy = 0, vz = -3.2373, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 12: x = 0, y = 0, z = -0.603315, vx = 0, vy = 0, vz = -3.5316, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 13: x = 0, y = 0, z = -0.71098, vx = 0, vy = 0, vz = -3.8259, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 14: x = 0, y = 0, z = -0.827473, vx = 0, vy = 0, vz = -4.1202, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 15: x = 0, y = 0, z = -0.952796, vx = 0, vy = 0, vz = -4.4145, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 16: x = 0, y = 0, z = -1.08695, vx = 0, vy = 0, vz = -4.7088, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 17: x = 0, y = 0, z = -1.22993, vx = 0, vy = 0, vz = -5.0031, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 18: x = 0, y = 0, z = -1.38174, vx = 0, vy = 0, vz = -5.2974, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 19: x = 0, y = 0, z = -1.54238, vx = 0, vy = 0, vz = -5.5917, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 20: x = 0, y = 0, z = -1.71184, vx = 0, vy = 0, vz = -5.886, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 21: x = 0, y = 0, z = -1.89014, vx = 0, vy = 0, vz = -6.1803, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 22: x = 0, y = 0, z = -2.07727, vx = 0, vy = 0, vz = -6.4746, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 23: x = 0, y = 0, z = -2.27322, vx = 0, vy = 0, vz = -6.7689, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 24: x = 0, y = 0, z = -2.47801, vx = 0, vy = 0, vz = -7.0632, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 25: x = 0, y = 0, z = -2.69162, vx = 0, vy = 0, vz = -7.3575, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 26: x = 0, y = 0, z = -2.91406, vx = 0, vy = 0, vz = -7.6518, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 27: x = 0, y = 0, z = -3.14533, vx = 0, vy = 0, vz = -7.9461, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 28: x = 0, y = 0, z = -3.38543, vx = 0, vy = 0, vz = -8.2404, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 29: x = 0, y = 0, z = -3.63436, vx = 0, vy = 0, vz = -8.5347, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 30: x = 0, y = 0, z = -3.89212, vx = 0, vy = 0, vz = -8.829, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 31: x = 0, y = 0, z = -4.1587, vx = 0, vy = 0, vz = -9.1233, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
