Step 0: x = 0, y = 0, z = 0, vx = 0, vy = 0, vz = 0, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 154: x = 0, y = 0, z = -104.279, vx = 0, vy = 0, vz = -45.3222, phi = 0.0106298, theta = 112326, psi = 0, p = 0.00462, q = 48819.5, r = 0
Step 155: x = 0, y = 0, z = -105.64, vx = 0, vy = 0, vz = -45.6165, phi = 0.0107686, theta = 113792, psi = 0, p = 0.00465, q = 49136.5, r = 0
Step 156: x = 0, y = 0, z = -107.01, vx = 0, vy = 0, vz = -45.9108, phi = 0.0109083, theta = 115268, psi = 0, p = 0.00468, q = 49453.6, r = 0
Step 157: x = 0, y = 0, z = -108.389, vx = 0, vy = 0, vz = -46.2051, phi = 0.0110489, theta = 116753, psi = 0, p = 0.00471, q = 49770.6, r = 0
Step 158: x = 0, y = 0, z = -109.777, vx = 0, vy = 0, vz = -46.4994, phi = 0.0111903, theta = 118248, psi = 0, p = 0.00474, q = 50087.6, r = 0
Step 159: x = 0, y = 0, z = -111.174, vx = 0, vy = 0, vz = -46.7937, phi = 0.0113327, theta = 119753, psi = 0, p = 0.00477, q = 50404.6, r = 0
Step 160: x = 0, y = 0, z = -112.58, vx = 0, vy = 0, vz = -47.088, phi = 0.011476, theta = 121267, psi = 0, p = 0.0048, q = 50721.6, r = 0
Step 161: x = 0, y = 0, z = -113.994, vx = 0, vy = 0, vz = -47.3823, phi = 0.0116202, theta = 122790, psi = 0, p = 0.00483, q = 51038.6, r = 0
Step 162: x = 0, y = 0, z = -115.417, vx = 0, vy = 0, vz = -47.6766, phi = 0.0117652, theta = 124323, psi = 0, p = 0.00486, q = 51355.6, r = 0
Step 163: x = 0, y = 0, z = -116.849, vx = 0, vy = 0, vz = -47.9709, phi = 0.0119112, theta = 125866, psi = 0, p = 0.00489, q = 51672.6, r = 0
Step 164: x = 0, y = 0, z = -118.29, vx = 0, vy = 0, vz = -48.2652, phi = 0.0120581, theta = 127418, psi = 0, p = 0.00492, q = 51989.6, r = 0
Step 165: x = 0, y = 0, z = -119.74, vx = 0, vy = 0, vz = -48.5595, phi = 0.0122059, theta = 128979, psi = 0, p = 0.00495, q = 52306.6, r = 0
Step 166: x = 0, y = 0, z = -121.198, vx = 0, vy = 0, vz = -48.8538, phi = 0.0123545, theta = 130551, psi = 0, p = 0.00498, q = 52623.7, r = 0
Step 167: x = 0, y = 0, z = -122.665, vx = 0, vy = 0, vz = -49.1481, phi = 0.0125041, theta = 132131, psi = 0, p = 0.00501, q = 52940.7, r = 0
Step 168: x = 0, y = 0, z = -124.142, vx = 0, vy = 0, vz = -49.4424, phi = 0.0126546, theta = 133721, psi = 0, p = 0.00504, q = 53257.7, r = 0
Step 169: x = 0, y = 0, z = -125.627, vx = 0, vy = 0, vz = -49.7367, phi = 0.012806, theta = 135321, psi = 0, p = 0.00507, q = 53574.7, r = 0
Step 170: x = 0, y = 0, z = -127.12, vx = 0, vy = 0, vz = -50.031, phi = 0.0129582, theta = 136930, psi = 0, p = 0.0051, q = 53891.7, r = 0
Step 171: x = 0, y = 0, z = -128.623, vx = 0, vy = 0, vz = -50.3253, phi = 0.0131114, theta = 138548, psi = 0, p = 0.00513, q = 54208.7, r = 0
Step 172: x = 0, y = 0, z = -130.135, vx = 0, vy = 0, vz = -50.6196, phi = 0.0132655, theta = 140177, psi = 0, p = 0.00516, q = 54525.7, r = 0
Step 173: x = 0, y = 0, z = -131.655, vx = 0, vy = 0, vz = -50.9139, phi = 0.0134205, theta = 141814, psi = 0, p = 0.00519, q = 54842.7, r = 0
Step 174: x = 0, y = 0, z = -133.184, vx = 0, vy = 0, vz = -51.2082, phi = 0.0135763, theta = 143461, psi = 0, p = 0.00522, q = 55159.7, r = 0
Step 175: x = 0, y = 0, z = -134.722, vx = 0, vy = 0, vz = -51.5025, phi = 0.0137331, theta = 145118, psi = 0, p = 0.00525, q = 55476.7, r = 0
Step 176: x = 0, y = 0, z = -136.269, vx = 0, vy = 0, vz = -51.7968, phi = 0.0138908, theta = 146784, psi = 0, p = 0.00528, q = 55793.8, r = 0
Step 177: x = 0, y = 0, z = -137.824, vx = 0, vy = 0, vz = -52.0911, phi = 0.0140494, theta = 148460, psi = 0, p = 0.00531, q = 56110.8, r = 0
Step 178: x = 0, y = 0, z = -139.389, vx = 0, vy = 0, vz = -52.3854, phi = 0.0142088, theta = 150145, psi = 0, p = 0.00534, q = 56427.8, r = 0
Step 179: x = 0, y = 0, z = -140.962, vx = 0, vy = 0, vz = -52.6797, phi = 0.0143692, theta = 151840, psi = 0, p = 0.00537, q = 56744.8, r = 0
Step 180: x = 0, y = 0, z = -142.544, vx = 0, vy = 0, vz = -52.974, phi = 0.0145305, theta = 153544, psi = 0, p = 0.0054, q = 57061.8, r = 0
Step 181: x = 0, y = 0, z = -144.135, vx = 0, vy = 0, vz = -53.2683, phi = 0.0146927, theta = 155257, psi = 0, p = 0.00543, q = 57378.8, r = 0
Step 182: x = 0, y = 0, z = -145.735, vx = 0, vy = 0, vz = -53.5626, phi = 0.0148557, theta = 156981, psi = 0, p = 0.00546, q = 57695.8, r = 0
Step 183: x = 0, y = 0, z = -147.344, vx = 0, vy = 0, vz = -53.8569, phi = 0.0150197, theta = 158713, psi = 0, p = 0.00549, q = 58012.8, r = 0
Step 184: x = 0, y = 0, z = -148.961, vx = 0, vy = 0, vz = -54.1512, phi = 0.0151846, theta = 160456, psi = 0, p = 0.00552, q = 58329.8, r = 0
Step 185: x = 0, y = 0, z = -150.587, vx = 0, vy = 0, vz = -54.4455, phi = 0.0153504, theta = 162207, psi = 0, p = 0.00555, q = 58646.8, r = 0
Step 186: x = 0, y = 0, z = -152.222, vx = 0, vy = 0, vz = -54.7398, phi = 0.015517, theta = 163969, psi = 0, p = 0.00558, q = 58963.9, r = 0
Step 187: x = 0, y = 0, z = -153.866, vx = 0, vy = 0, vz = -55.0341, phi = 0.0156846, theta = 165739, psi = 0, p = 0.00561, q = 59280.9, r = 0
Step 188: x = 0, y = 0, z = -155.519, vx = 0, vy = 0, vz = -55.3284, phi = 0.0158531, theta = 167520, psi = 0, p = 0.00564, q = 59597.9, r = 0
Step 189: x = 0, y = 0, z = -157.18, vx = 0, vy = 0, vz = -55.6227, phi = 0.0160225, theta = 169309, psi = 0, p = 0.00567, q = 59914.9, r = 0
Step 190: x = 0, y = 0, z = -158.851, vx = 0, vy = 0, vz = -55.917, phi = 0.0161927, theta = 171109, psi = 0, p = 0.0057, q = 60231.9, r = 0
Step 191: x = 0, y = 0, z = -160.53, vx = 0, vy = 0, vz = -56.2113, phi = 0.0163639, theta = 172918, psi = 0, p = 0.00573, q = 60548.9, r = 0
Step 192: x = 0, y = 0, z = -162.218, vx = 0, vy = 0, vz = -56.5056, phi = 0.016536, theta = 174736, psi = 0, p = 0.00576, q = 60865.9, r = 0
Step 193: x = 0, y = 0, z = -163.915, vx = 0, vy = 0, vz = -56.7999, phi = 0.016709, theta = 176564, psi = 0, p = 0.00579, q = 61182.9, r = 0
Step 194: x = 0, y = 0, z = -165.621, vx = 0, vy = 0, vz = -57.0942, phi = 0.0168828, theta = 178401, psi = 0, p = 0.00582, q = 61499.9, r = 0
Step 195: x = 0, y = 0, z = -167.335, vx = 0, vy = 0, vz = -57.3885, phi = 0.0170576, theta = 180248, psi = 0, p = 0.00585, q = 61816.9, r = 0
Step 196: x = 0, y = 0, z = -169.059, vx = 0, vy = 0, vz = -57.6828, phi = 0.0172333, theta = 182104, psi = 0, p = 0.00588, q = 62134, r = 0
Step 197: x = 0, y = 0, z = -170.791, vx = 0, vy = 0, vz = -57.9771, phi = 0.0174099, theta = 183970, psi = 0, p = 0.00591, q = 62451, r = 0
Step 198: x = 0, y = 0, z = -172.532, vx = 0, vy = 0, vz = -58.2714, phi = 0.0175873, theta = 185846, psi = 0, p = 0.00594, q = 62768, r = 0
Step 199: x = 0, y = 0, z = -174.282, vx = 0, vy = 0, vz = -58.5657, phi = 0.0177657, theta = 187730, psi = 0, p = 0.00597, q = 63085, r = 0
Step 200: x = 0, y = 0, z = -176.04, vx = 0, vy = 0, vz = -58.86, phi = 0.017945, theta = 189625, psi = 0, p = 0.006, q = 63402, r = 0
Step 201: x = 0, y = 0, z = -177.808, vx = 0, vy = 0, vz = -59.1543, phi = 0.0181252, theta = 191529, psi = 0, p = 0.00603, q = 63719, r = 0
Step 202: x = 0, y = 0, z = -179.584, vx = 0, vy = 0, vz = -59.4486, phi = 0.0183062, theta = 193442, psi = 0, p = 0.00606, q = 64036, r = 0
Step 203: x = 0, y = 0, z = -181.369, vx = 0, vy = 0, vz = -59.7429, phi = 0.0184882, theta = 195365, psi = 0, p = 0.00609, q = 64353, r = 0
Step 204: x = 0, y = 0, z = -183.163, vx = 0, vy = 0, vz = -60.0372, phi = 0.0186711, theta = 197298, psi = 0, p = 0.00612, q = 64670, r = 0
Step 205: x = 0, y = 0, z = -184.966, vx = 0, vy = 0, vz = -60.3315, phi = 0.0188549, theta = 199239, psi = 0, p = 0.00615, q = 64987, r = 0
Step 206: x = 0, y = 0, z = -186.778, vx = 0, vy = 0, vz = -60.6258, phi = 0.0190395, theta = 201191, psi = 0, p = 0.00618, q = 65304.1, r = 0
Step 207: x = 0, y = 0, z = -188.598, vx = 0, vy = 0, vz = -60.9201, phi = 0.0192251, theta = 203152, psi = 0, p = 0.00621, q = 65621.1, r = 0
Step 208: x = 0, y = 0, z = -190.428, vx = 0, vy = 0, vz = -61.2144, phi = 0.0194116, theta = 205122, psi = 0, p = 0.00624, q = 65938.1, r = 0
Step 209: x = 0, y = 0, z = -192.266, vx = 0, vy = 0, vz = -61.5087, phi = 0.019599, theta = 207102, psi = 0, p = 0.00627, q = 66255.1, r = 0
Step 210: x = 0, y = 0, z = -194.113, vx = 0, vy = 0, vz = -61.803, phi = 0.0197872, theta = 209092, psi = 0, p = 0.0063, q = 66572.1, r = 0
Step 211: x = 0, y = 0, z = -195.969, vx = 0, vy = 0, vz = -62.0973, phi = 0.0199764, theta = 211091, psi = 0, p = 0.00633, q = 66889.1, r = 0
Step 212: x = 0, y = 0, z = -197.833, vx = 0, vy = 0, vz = -62.3916, phi = 0.0201665, theta = 213099, psi = 0, p = 0.00636, q = 67206.1, r = 0
Step 213: x = 0, y = 0, z = -199.707, vx = 0, vy = 0, vz = -62.6859, phi = 0.0203575, theta = 215117, psi = 0, p = 0.00639, q = 67523.1, r = 0
Step 214: x = 0, y = 0, z = -201.589, vx = 0, vy = 0, vz = -62.9802, phi = 0.0205493, theta = 217145, psi = 0, p = 0.00642, q = 67840.1, r = 0
Step 215: x = 0, y = 0, z = -203.48, vx = 0, vy = 0, vz = -63.2745, phi = 0.0207421, theta = 219182, psi = 0, p = 0.00645, q = 68157.1, r = 0
Step 216: x = 0, y = 0, z = -205.38, vx = 0, vy = 0, vz = -63.5688, phi = 0.0209358, theta = 221229, psi = 0, p = 0.00648, q = 68474.2, r = 0
Step 217: x = 0, y = 0, z = -207.289, vx = 0, vy = 0, vz = -63.8631, phi = 0.0211304, theta = 223285, psi = 0, p = 0.00651, q = 68791.2, r = 0
Step 218: x = 0, y = 0, z = -209.207, vx = 0, vy = 0, vz = -64.1574, phi = 0.0213258, theta = 225350, psi = 0, p = 0.00654, q = 69108.2, r = 0
Step 219: x = 0, y = 0, z = -211.133, vx = 0, vy = 0, vz = -64.4517, phi = 0.0215222, theta = 227425, psi = 0, p = 0.00657, q = 69425.2, r = 0
Step 220: x = 0, y = 0, z = -213.068, vx = 0, vy = 0, vz = -64.746, phi = 0.0217195, theta = 229510, psi = 0, p = 0.0066, q = 69742.2, r = 0
Step 221: x = 0, y = 0, z = -215.012, vx = 0, vy = 0, vz = -65.0403, phi = 0.0219177, theta = 231604, psi = 0, p = 0.00663, q = 70059.2, r = 0
Step 222: x = 0, y = 0, z = -216.965, vx = 0, vy = 0, vz = -65.3346, phi = 0.0221167, theta = 233708, psi = 0, p = 0.00666, q = 70376.2, r = 0
Step 223: x = 0, y = 0, z = -218.927, vx = 0, vy = 0, vz = -65.6289, phi = 0.0223167, theta = 235821, psi = 0, p = 0.00669, q = 70693.2, r = 0
Step 224: x = 0, y = 0, z = -220.898, vx = 0, vy = 0, vz = -65.9232, phi = 0.0225176, theta = 237943, psi = 0, p = 0.00672, q = 71010.2, r = 0
Step 225: x = 0, y = 0, z = -222.877, vx = 0, vy = 0, vz = -66.2175, phi = 0.0227194, theta = 240076, psi = 0, p = 0.00675, q = 71327.2, r = 0
Step 226: x = 0, y = 0, z = -224.865, vx = 0, vy = 0, vz = -66.5118, phi = 0.022922, theta = 242217, psi = 0, p = 0.00678, q = 71644.3, r = 0
Step 227: x = 0, y = 0, z = -226.862, vx = 0, vy = 0, vz = -66.8061, phi = 0.0231256, theta = 244368, psi = 0, p = 0.00681, q = 71961.3, r = 0
Step 228: x = 0, y = 0, z = -228.868, vx = 0, vy = 0, vz = -67.1004, phi = 0.0233301, theta = 246529, psi = 0, p = 0.00684, q = 72278.3, r = 0
Step 229: x = 0, y = 0, z = -230.883, vx = 0, vy = 0, vz = -67.3947, phi = 0.0235355, theta = 248699, psi = 0, p = 0.00687, q = 72595.3, r = 0
Step 230: x = 0, y = 0, z = -232.907, vx = 0, vy = 0, vz = -67.689, phi = 0.0237417, theta = 250879, psi = 0, p = 0.0069, q = 72912.3, r = 0
Step 231: x = 0, y = 0, z = -234.939, vx = 0, vy = 0, vz = -67.9833, phi = 0.0239489, theta = 253068, psi = 0, p = 0.00693, q = 73229.3, r = 0
Step 232: x = 0, y = 0, z = -236.98, vx = 0, vy = 0, vz = -68.2776, phi = 0.024157, theta = 255267, psi = 0, p = 0.00696, q = 73546.3, r = 0
Step 233: x = 0, y = 0, z = -239.03, vx = 0, vy = 0, vz = -68.5719, phi = 0.024366, theta = 257475, psi = 0, p = 0.00699, q = 73863.3, r = 0
Step 234: x = 0, y = 0, z = -241.089, vx = 0, vy = 0, vz = -68.8662, phi = 0.0245758, theta = 259693, psi = 0, p = 0.00702, q = 74180.3, r = 0
Step 235: x = 0, y = 0, z = -243.157, vx = 0, vy = 0, vz = -69.1605, phi = 0.0247866, theta = 261920, psi = 0, p = 0.00705, q = 74497.3, r = 0
Step 236: x = 0, y = 0, z = -245.233, vx = 0, vy = 0, vz = -69.4548, phi = 0.0249983, theta = 264157, psi = 0, p = 0.00708, q = 74814.4, r = 0
Step 237: x = 0, y = 0, z = -247.319, vx = 0, vy = 0, vz = -69.7491, phi = 0.0252109, theta = 266403, psi = 0, p = 0.00711, q = 75131.4, r = 0
Step 238: x = 0, y = 0, z = -249.413, vx = 0, vy = 0, vz = -70.0434, phi = 0.0254243, theta = 268659, psi = 0, p = 0.00714, q = 75448.4, r = 0
Step 239: x = 0, y = 0, z = -251.516, vx = 0, vy = 0, vz = -70.3377, phi = 0.0256387, theta = 270924, psi = 0, p = 0.00717, q = 75765.4, r = 0
Step 240: x = 0, y = 0, z = -253.628, vx = 0, vy = 0, vz = -70.632, phi = 0.025854, theta = 273199, psi = 0, p = 0.0072, q = 76082.4, r = 0
Step 241: x = 0, y = 0, z = -255.748, vx = 0, vy = 0, vz = -70.9263, phi = 0.0260702, theta = 275484, psi = 0, p = 0.00723, q = 76399.4, r = 0
Step 242: x = 0, y = 0, z = -257.878, vx = 0, vy = 0, vz = -71.2206, phi = 0.0262872, theta = 277777, psi = 0, p = 0.00726, q = 76716.4, r = 0
Step 243: x = 0, y = 0, z = -260.016, vx = 0, vy = 0, vz = -71.5149, phi = 0.0265052, theta = 280081, psi = 0, p = 0.00729, q = 77033.4, r = 0
Step 244: x = 0, y = 0, z = -262.163, vx = 0, vy = 0, vz = -71.8092, phi = 0.0267241, theta = 282394, psi = 0, p = 0.00732, q = 77350.4, r = 0
Step 245: x = 0, y = 0, z = -264.319, vx = 0, vy = 0, vz = -72.1035, phi = 0.0269439, theta = 284716, psi = 0, p = 0.00735, q = 77667.4, r = 0
Step 246: x = 0, y = 0, z = -266.484, vx = 0, vy = 0, vz = -72.3978, phi = 0.0271645, theta = 287048, psi = 0, p = 0.00738, q = 77984.5, r = 0
Step 247: x = 0, y = 0, z = -268.658, vx = 0, vy = 0, vz = -72.6921, phi = 0.0273861, theta = 289389, psi = 0, p = 0.00741, q = 78301.5, r = 0
Step 248: x = 0, y = 0, z = -270.84, vx = 0, vy = 0, vz = -72.9864, phi = 0.0276086, theta = 291740, psi = 0, p = 0.00744, q = 78618.5, r = 0
Step 249: x = 0, y = 0, z = -273.032, vx = 0, vy = 0, vz = -73.2807, phi = 0.027832, theta = 294100, psi = 0, p = 0.00747, q = 78935.5, r = 0
Step 250: x = 0, y = 0, z = -275.232, vx = 0, vy = 0, vz = -73.575, phi = 0.0280562, theta = 296470, psi = 0, p = 0.0075, q = 79252.5, r = 0
Step 251: x = 0, y = 0, z = -277.441, vx = 0, vy = 0, vz = -73.8693, phi = 0.0282814, theta = 298850, psi = 0, p = 0.00753, q = 79569.5, r = 0
Step 252: x = 0, y = 0, z = -279.659, vx = 0, vy = 0, vz = -74.1636, phi = 0.0285075, theta = 301239, psi = 0, p = 0.00756, q = 79886.5, r = 0
Step 253: x = 0, y = 0, z = -281.885, vx = 0, vy = 0, vz = -74.4579, phi = 0.0287345, theta = 303637, psi = 0, p = 0.00759, q = 80203.5, r = 0
Step 254: x = 0, y = 0, z = -284.121, vx = 0, vy = 0, vz = -74.7522, phi = 0.0289623, theta = 306045, psi = 0, p = 0.00762, q = 80520.5, r = 0
Step 255: x = 0, y = 0, z = -286.365, vx = 0, vy = 0, vz = -75.0465, phi = 0.0291911, theta = 308463, psi = 0, p = 0.00765, q = 80837.5, r = 0
Step 256: x = 0, y = 0, z = -288.618, vx = 0, vy = 0, vz = -75.3408, phi = 0.0294208, theta = 310890, psi = 0, p = 0.00768, q = 81154.6, r = 0
Step 257: x = 0, y = 0, z = -290.88, vx = 0, vy = 0, vz = -75.6351, phi = 0.0296514, theta = 313326, psi = 0, p = 0.00771, q = 81471.6, r = 0
Step 258: x = 0, y = 0, z = -293.151, vx = 0, vy = 0, vz = -75.9294, phi = 0.0298828, theta = 315772, psi = 0, p = 0.00774, q = 81788.6, r = 0
Step 259: x = 0, y = 0, z = -295.43, vx = 0, vy = 0, vz = -76.2237, phi = 0.0301152, theta = 318228, psi = 0, p = 0.00777, q = 82105.6, r = 0
Step 260: x = 0, y = 0, z = -297.719, vx = 0, vy = 0, vz = -76.518, phi = 0.0303485, theta = 320693, psi = 0, p = 0.0078, q = 82422.6, r = 0
Step 261: x = 0, y = 0, z = -300.016, vx = 0, vy = 0, vz = -76.8123, phi = 0.0305827, theta = 323167, psi = 0, p = 0.00783, q = 82739.6, r = 0
Step 262: x = 0, y = 0, z = -302.322, vx = 0, vy = 0, vz = -77.1066, phi = 0.0308177, theta = 325651, psi = 0, p = 0.00786, q = 83056.6, r = 0
Step 263: x = 0, y = 0, z = -304.637, vx = 0, vy = 0, vz = -77.4009, phi = 0.0310537, theta = 328145, psi = 0, p = 0.00789, q = 83373.6, r = 0
Step 264: x = 0, y = 0, z = -306.961, vx = 0, vy = 0, vz = -77.6952, phi = 0.0312906, theta = 330648, psi = 0, p = 0.00792, q = 83690.6, r = 0
Step 265: x = 0, y = 0, z = -309.293, vx = 0, vy = 0, vz = -77.9895, phi = 0.0315284, theta = 333160, psi = 0, p = 0.00795, q = 84007.6, r = 0
Step 266: x = 0, y = 0, z = -311.635, vx = 0, vy = 0, vz = -78.2838, phi = 0.031767, theta = 335682, psi = 0, p = 0.00798, q = 84324.7, r = 0
Step 267: x = 0, y = 0, z = -313.985, vx = 0, vy = 0, vz = -78.5781, phi = 0.0320066, theta = 338214, psi = 0, p = 0.00801, q = 84641.7, r = 0
Step 268: x = 0, y = 0, z = -316.344, vx = 0, vy = 0, vz = -78.8724, phi = 0.0322471, theta = 340755, psi = 0, p = 0.00804, q = 84958.7, r = 0
Step 269: x = 0, y = 0, z = -318.712, vx = 0, vy = 0, vz = -79.1667, phi = 0.0324885, theta = 343306, psi = 0, p = 0.00807, q = 85275.7, r = 0
Step 270: x = 0, y = 0, z = -321.089, vx = 0, vy = 0, vz = -79.461, phi = 0.0327307, theta = 345866, psi = 0, p = 0.0081, q = 85592.7, r = 0
Step 271: x = 0, y = 0, z = -323.474, vx = 0, vy = 0, vz = -79.7553, phi = 0.0329739, theta = 348435, psi = 0, p = 0.00813, q = 85909.7, r = 0
Step 272: x = 0, y = 0, z = -325.869, vx = 0, vy = 0, vz = -80.0496, phi = 0.033218, theta = 351015, psi = 0, p = 0.00816, q = 86226.7, r = 0
Step 273: x = 0, y = 0, z = -328.272, vx = 0, vy = 0, vz = -80.3439, phi = 0.033463, theta = 353603, psi = 0, p = 0.00819, q = 86543.7, r = 0
Step 274: x = 0, y = 0, z = -330.684, vx = 0, vy = 0, vz = -80.6382, phi = 0.0337088, theta = 356201, psi = 0, p = 0.00822, q = 86860.7, r = 0
Step 275: x = 0, y = 0, z = -333.105, vx = 0, vy = 0, vz = -80.9325, phi = 0.0339556, theta = 358809, psi = 0, p = 0.00825, q = 87177.7, r = 0
Step 276: x = 0, y = 0, z = -335.534, vx = 0, vy = 0, vz = -81.2268, phi = 0.0342033, theta = 361426, psi = 0, p = 0.00828, q = 87494.8, r = 0
Step 277: x = 0, y = 0, z = -337.973, vx = 0, vy = 0, vz = -81.5211, phi = 0.0344519, theta = 364053, psi = 0, p = 0.00831, q = 87811.8, r = 0
Step 278: x = 0, y = 0, z = -340.42, vx = 0, vy = 0, vz = -81.8154, phi = 0.0347013, theta = 366689, psi = 0, p = 0.00834, q = 88128.8, r = 0
Step 279: x = 0, y = 0, z = -342.876, vx = 0, vy = 0, vz = -82.1097, phi = 0.0349517, theta = 369335, psi = 0, p = 0.00837, q = 88445.8, r = 0
Step 280: x = 0, y = 0, z = -345.341, vx = 0, vy = 0, vz = -82.404, phi = 0.035203, theta = 371990, psi = 0, p = 0.0084, q = 88762.8, r = 0
Step 281: x = 0, y = 0, z = -347.815, vx = 0, vy = 0, vz = -82.6983, phi = 0.0354552, theta = 374655, psi = 0, p = 0.00843, q = 89079.8, r = 0
Step 282: x = 0, y = 0, z = -350.298, vx = 0, vy = 0, vz = -82.9926, phi = 0.0357082, theta = 377329, psi = 0, p = 0.00846, q = 89396.8, r = 0
Step 283: x = 0, y = 0, z = -352.789, vx = 0, vy = 0, vz = -83.2869, phi = 0.0359622, theta = 380013, psi = 0, p = 0.00849, q = 89713.8, r = 0
Step 284: x = 0, y = 0, z = -355.29, vx = 0, vy = 0, vz = -83.5812, phi = 0.0362171, theta = 382706, psi = 0, p = 0.00852, q = 90030.8, r = 0
Step 285: x = 0, y = 0, z = -357.799, vx = 0, vy = 0, vz = -83.8755, phi = 0.0364729, theta = 385409, psi = 0, p = 0.00855, q = 90347.8, r = 0
Step 286: x = 0, y = 0, z = -360.317, vx = 0, vy = 0, vz = -84.1698, phi = 0.0367295, theta = 388121, psi = 0, p = 0.00858, q = 90664.9, r = 0
Step 287: x = 0, y = 0, z = -362.844, vx = 0, vy = 0, vz = -84.4641, phi = 0.0369871, theta = 390843, psi = 0, p = 0.00861, q = 90981.9, r = 0
Step 288: x = 0, y = 0, z = -365.379, vx = 0, vy = 0, vz = -84.7584, phi = 0.0372456, theta = 393574, psi = 0, p = 0.00864, q = 91298.9, r = 0
Step 289: x = 0, y = 0, z = -367.924, vx = 0, vy = 0, vz = -85.0527, phi = 0.037505, theta = 396315, psi = 0, p = 0.00867, q = 91615.9, r = 0
Step 290: x = 0, y = 0, z = -370.477, vx = 0, vy = 0, vz = -85.347, phi = 0.0377652, theta = 399065, psi = 0, p = 0.0087, q = 91932.9, r = 0
Step 291: x = 0, y = 0, z = -373.039, vx = 0, vy = 0, vz = -85.6413, phi = 0.0380264, theta = 401825, psi = 0, p = 0.00873, q = 92249.9, r = 0
Step 292: x = 0, y = 0, z = -375.61, vx = 0, vy = 0, vz = -85.9356, phi = 0.0382885, theta = 404595, psi = 0, p = 0.00876, q = 92566.9, r = 0
Step 293: x = 0, y = 0, z = -378.19, vx = 0, vy = 0, vz = -86.2299, phi = 0.0385515, theta = 407373, psi = 0, p = 0.00879, q = 92883.9, r = 0
Step 294: x = 0, y = 0, z = -380.779, vx = 0, vy = 0, vz = -86.5242, phi = 0.0388153, theta = 410162, psi = 0, p = 0.00882, q = 93200.9, r = 0
Step 295: x = 0, y = 0, z = -383.376, vx = 0, vy = 0, vz = -86.8185, phi = 0.0390801, theta = 412960, psi = 0, p = 0.00885, q = 93517.9, r = 0
Step 296: x = 0, y = 0, z = -385.982, vx = 0, vy = 0, vz = -87.1128, phi = 0.0393458, theta = 415767, psi = 0, p = 0.00888, q = 93835, r = 0
Step 297: x = 0, y = 0, z = -388.597, vx = 0, vy = 0, vz = -87.4071, phi = 0.0396124, theta = 418584, psi = 0, p = 0.00891, q = 94152, r = 0
Step 298: x = 0, y = 0, z = -391.221, vx = 0, vy = 0, vz = -87.7014, phi = 0.0398798, theta = 421410, psi = 0, p = 0.00894, q = 94469, r = 0
Step 299: x = 0, y = 0, z = -393.854, vx = 0, vy = 0, vz = -87.9957, phi = 0.0401482, theta = 424246, psi = 0, p = 0.00897, q = 94786, r = 0
Step 300: x = 0, y = 0, z = -396.496, vx = 0, vy = 0, vz = -88.29, phi = 0.0404175, theta = 427092, psi = 0, p = 0.009, q = 95103, r = 0
Step 301: x = 0, y = 0, z = -399.146, vx = 0, vy = 0, vz = -88.5843, phi = 0.0406877, theta = 429947, psi = 0, p = 0.00903, q = 95420, r = 0
Step 302: x = 0, y = 0, z = -401.805, vx = 0, vy = 0, vz = -88.8786, phi = 0.0409587, theta = 432811, psi = 0, p = 0.00906, q = 95737, r = 0
Step 303: x = 0, y = 0, z = -404.473, vx = 0, vy = 0, vz = -89.1729, phi = 0.0412307, theta = 435685, psi = 0, p = 0.00909, q = 96054, r = 0
Step 304: x = 0, y = 0, z = -407.15, vx = 0, vy = 0, vz = -89.4672, phi = 0.0415036, theta = 438569, psi = 0, p = 0.00912, q = 96371, r = 0
Step 305: x = 0, y = 0, z = -409.836, vx = 0, vy = 0, vz = -89.7615, phi = 0.0417774, theta = 441462, psi = 0, p = 0.00915, q = 96688.1, r = 0
Step 306: x = 0, y = 0, z = -412.531, vx = 0, vy = 0, vz = -90.0558, phi = 0.042052, theta = 444364, psi = 0, p = 0.00918, q = 97005.1, r = 0
Step 307: x = 0, y = 0, z = -415.234, vx = 0, vy = 0, vz = -90.3501, phi = 0.0423276, theta = 447276, psi = 0, p = 0.00921, q = 97322.1, r = 0
Step 308: x = 0, y = 0, z = -417.946, vx = 0, vy = 0, vz = -90.6444, phi = 0.0426041, theta = 450198, psi = 0, p = 0.00924, q = 97639.1, r = 0
Step 309: x = 0, y = 0, z = -420.667, vx = 0, vy = 0, vz = -90.9387, phi = 0.0428815, theta = 453129, psi = 0, p = 0.00927, q = 97956.1, r = 0
Step 310: x = 0, y = 0, z = -423.397, vx = 0, vy = 0, vz = -91.233, phi = 0.0431597, theta = 456069, psi = 0, p = 0.0093, q = 98273.1, r = 0
Step 311: x = 0, y = 0, z = -426.136, vx = 0, vy = 0, vz = -91.5273, phi = 0.0434389, theta = 459019, psi = 0, p = 0.00933, q = 98590.1, r = 0
Step 312: x = 0, y = 0, z = -428.883, vx = 0, vy = 0, vz = -91.8216, phi = 0.043719, theta = 461979, psi = 0, p = 0.00936, q = 98907.1, r = 0
Step 313: x = 0, y = 0, z = -431.64, vx = 0, vy = 0, vz = -92.1159, phi = 0.044, theta = 464948, psi = 0, p = 0.00939, q = 99224.1, r = 0
