Step 0: x = 0, y = 0, z = 0, vx = 0, vy = 0, vz = 0, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 35: x = 0, y = 0, z = -5.31334, vx = 0, vy = 0, vz = -10.3005, phi = 0.000541625, theta = 5723.35, psi = 0, p = 0.00105, q = 11095.3, r = 0
Step 36: x = 0, y = 0, z = -5.62407, vx = 0, vy = 0, vz = -10.5948, phi = 0.0005733, theta = 6058.06, psi = 0, p = 0.00108, q = 11412.4, r = 0
Step 37: x = 0, y = 0, z = -5.94363, vx = 0, vy = 0, vz = -10.8891, phi = 0.000605875, theta = 6402.28, psi = 0, p = 0.00111, q = 11729.4, r = 0
Step 38: x = 0, y = 0, z = -6.27202, vx = 0, vy = 0, vz = -11.1834, phi = 0.00063935, theta = 6756.01, psi = 0, p = 0.00114, q = 12046.4, r = 0
Step 39: x = 0, y = 0, z = -6.60924, vx = 0, vy = 0, vz = -11.4777, phi = 0.000673725, theta = 7119.25, psi = 0, p = 0.00117, q = 12363.4, r = 0
Step 40: x = 0, y = 0, z = -6.95529, vx = 0, vy = 0, vz = -11.772, phi = 0.000709, theta = 7492, psi = 0, p = 0.0012, q = 12680.4, r = 0
Step 41: x = 0, y = 0, z = -7.31017, vx = 0, vy = 0, vz = -12.0663, phi = 0.000745175, theta = 7874.26, psi = 0, p = 0.00123, q = 12997.4, r = 0
Step 42: x = 0, y = 0, z = -7.67387, vx = 0, vy = 0, vz = -12.3606, phi = 0.00078225, theta = 8266.04, psi = 0, p = 0.00126, q = 13314.4, r = 0
Step 43: x = 0, y = 0, z = -8.04641, vx = 0, vy = 0, vz = -12.6549, phi = 0.000820225, theta = 8667.32, psi = 0, p = 0.00129, q = 13631.4, r = 0
Step 44: x = 0, y = 0, z = -8.42777, vx = 0, vy = 0, vz = -12.9492, phi = 0.0008591, theta = 9078.11, psi = 0, p = 0.00132, q = 13948.4, r = 0
Step 45: x = 0, y = 0, z = -8.81796, vx = 0, vy = 0, vz = -13.2435, phi = 0.000898875, theta = 9498.41, psi = 0, p = 0.00135, q = 14265.4, r = 0
Step 46: x = 0, y = 0, z = -9.21699, vx = 0, vy = 0, vz = -13.5378, phi = 0.00093955, theta = 9928.22, psi = 0, p = 0.00138, q = 14582.5, r = 0
Step 47: x = 0, y = 0, z = -9.62484, vx = 0, vy = 0, vz = -13.8321, phi = 0.000981125, theta = 10367.5, psi = 0, p = 0.00141, q = 14899.5, r = 0
Step 48: x = 0, y = 0, z = -10.0415, vx = 0, vy = 0, vz = -14.1264, phi = 0.0010236, theta = 10816.4, psi = 0, p = 0.00144, q = 15216.5, r = 0
Step 49: x = 0, y = 0, z = -10.467, vx = 0, vy = 0, vz = -14.4207, phi = 0.00106698, theta = 11274.7, psi = 0, p = 0.00147, q = 15533.5, r = 0
Step 50: x = 0, y = 0, z = -10.9014, vx = 0, vy = 0, vz = -14.715, phi = 0.00111125, theta = 11742.6, psi = 0, p = 0.0015, q = 15850.5, r = 0
Step 51: x = 0, y = 0, z = -11.3445, vx = 0, vy = 0, vz = -15.0093, phi = 0.00115643, theta = 12219.9, psi = 0, p = 0.00153, q = 16167.5, r = 0
Step 52: x = 0, y = 0, z = -11.7965, vx = 0, vy = 0, vz = -15.3036, phi = 0.0012025, theta = 12706.8, psi = 0, p = 0.00156, q = 16484.5, r = 0
Step 53: x = 0, y = 0, z = -12.2573, vx = 0, vy = 0, vz = -15.5979, phi = 0.00124948, theta = 13203.2, psi = 0, p = 0.00159, q = 16801.5, r = 0
Step 54: x = 0, y = 0, z = -12.727, vx = 0, vy = 0, vz = -15.8922, phi = 0.00129735, theta = 13709.1, psi = 0, p = 0.00162, q = 17118.5, r = 0
Step 55: x = 0, y = 0, z = -13.2055, vx = 0, vy = 0, vz = -16.1865, phi = 0.00134613, theta = 14224.5, psi = 0, p = 0.00165, q = 17435.5, r = 0
Step 56: x = 0, y = 0, z = -13.6928, vx = 0, vy = 0, vz = -16.4808, phi = 0.0013958, theta = 14749.4, psi = 0, p = 0.00168, q = 17752.6, r = 0
Step 57: x = 0, y = 0, z = -14.1889, vx = 0, vy = 0, vz = -16.7751, phi = 0.00144638, theta = 15283.8, psi = 0, p = 0.00171, q = 18069.6, r = 0
Step 58: x = 0, y = 0, z = -14.6939, vx = 0, vy = 0, vz = -17.0694, phi = 0.00149785, theta = 15827.8, psi = 0, p = 0.00174, q = 18386.6, r = 0
Step 59: x = 0, y = 0, z = -15.2077, vx = 0, vy = 0, vz = -17.3637, phi = 0.00155023, theta = 16381.2, psi = 0, p = 0.00177, q = 18703.6, r = 0
Step 60: x = 0, y = 0, z = -15.7303, vx = 0, vy = 0, vz = -17.658, phi = 0.0016035, theta = 16944.2, psi = 0, p = 0.0018, q = 19020.6, r = 0
Step 61: x = 0, y = 0, z = -16.2618, vx = 0, vy = 0, vz = -17.9523, phi = 0.00165768, theta = 17516.7, psi = 0, p = 0.00183, q = 19337.6, r = 0
Step 62: x = 0, y = 0, z = -16.8021, vx = 0, vy = 0, vz = -18.2466, phi = 0.00171275, theta = 18098.6, psi = 0, p = 0.00186, q = 19654.6, r = 0
Step 63: x = 0, y = 0, z = -17.3512, vx = 0, vy = 0, vz = -18.5409, phi = 0.00176873, theta = 18690.1, psi = 0, p = 0.00189, q = 19971.6, r = 0
Step 64: x = 0, y = 0, z = -17.9091, vx = 0, vy = 0, vz = -18.8352, phi = 0.0018256, theta = 19291.1, psi = 0, p = 0.00192, q = 20288.6, r = 0
Step 65: x = 0, y = 0, z = -18.4759, vx = 0, vy = 0, vz = -19.1295, phi = 0.00188338, theta = 19901.6, psi = 0, p = 0.00195, q = 20605.6, r = 0
Step 66: x = 0, y = 0, z = -19.0515, vx = 0, vy = 0, vz = -19.4238, phi = 0.00194205, theta = 20521.6, psi = 0, p = 0.00198, q = 20922.7, r = 0
Step 67: x = 0, y = 0, z = -19.6359, vx = 0, vy = 0, vz = -19.7181, phi = 0.00200163, theta = 21151.2, psi = 0, p = 0.00201, q = 21239.7, r = 0
Step 68: x = 0, y = 0, z = -20.2292, vx = 0, vy = 0, vz = -20.0124, phi = 0.0020621, theta = 21790.2, psi = 0, p = 0.00204, q = 21556.7, r = 0
Step 69: x = 0, y = 0, z = -20.8313, vx = 0, vy = 0, vz = -20.3067, phi = 0.00212348, theta = 22438.8, psi = 0, p = 0.00207, q = 21873.7, r = 0
Step 70: x = 0, y = 0, z = -21.4422, vx = 0, vy = 0, vz = -20.601, phi = 0.00218575, theta = 23096.8, psi = 0, p = 0.0021, q = 22190.7, r = 0
Step 71: x = 0, y = 0, z = -22.062, vx = 0, vy = 0, vz = -20.8953, phi = 0.00224893, theta = 23764.4, psi = 0, p = 0.00213, q = 22507.7, r = 0
Step 72: x = 0, y = 0, z = -22.6905, vx = 0, vy = 0, vz = -21.1896, phi = 0.002313, theta = 24441.5, psi = 0, p = 0.00216, q = 22824.7, r = 0
Step 73: x = 0, y = 0, z = -23.3279, vx = 0, vy = 0, vz = -21.4839, phi = 0.00237798, theta = 25128.1, psi = 0, p = 0.00219, q = 23141.7, r = 0
Step 74: x = 0, y = 0, z = -23.9742, vx = 0, vy = 0, vz = -21.7782, phi = 0.00244385, theta = 25824.2, psi = 0, p = 0.00222, q = 23458.7, r = 0
Step 75: x = 0, y = 0, z = -24.6292, vx = 0, vy = 0, vz = -22.0725, phi = 0.00251063, theta = 26529.8, psi = 0, p = 0.00225, q = 23775.7, r = 0
